Year,quarter,Geography,Enrollment Description,Race,Sex,Entitlement Status,Age,Rural/Urban Status,Total Telehealth Eligible Users,Total Medicare Part B Enrollment,Total Telehealth Users,Pct_Telehealth
2023,2,South Carolina,All,All,All,All,All,All,492413.0,605554.33333,36509.0,0.0741
2023,2,South Dakota,All,All,All,All,All,All,83081.0,113521.66667,4928.0,0.0593
2023,2,Tennessee,All,All,All,All,All,All,486716.0,614664.33333,31700.0,0.0651
2023,2,Texas,All,All,All,All,All,All,1396870.0,1827144.6667,175516.0,0.1256
2023,2,Utah,All,All,All,All,All,All,141381.0,189015.0,12326.0,0.0872
2023,2,Vermont,All,All,All,All,All,All,74498.0,99311.0,9508.0,0.1276
2023,2,Virginia,All,All,All,All,All,All,703776.0,891079.0,69181.0,0.0983
2023,2,Washington,All,All,All,All,All,All,485895.0,683905.66667,61199.0,0.126
2023,2,West Virginia,All,All,All,All,All,All,146876.0,191050.33333,13441.0,0.0915
2023,2,Wisconsin,All,All,All,All,All,All,362002.0,500988.0,34066.0,0.0941
2023,2,Wyoming,All,All,All,All,All,All,68644.0,97669.666667,4441.0,0.0647
2023,3,Alabama,All,All,All,All,All,All,312963.0,393153.66667,17734.0,0.0567
2023,3,Alaska,All,All,All,All,All,All,65327.0,99147.333333,8636.0,0.1322
2023,3,Arizona,All,All,All,All,All,All,483056.0,636297.33333,63534.0,0.1315
2023,3,Arkansas,All,All,All,All,All,All,261397.0,334142.66667,19545.0,0.0748
2023,3,California,All,All,All,All,All,All,2081796.0,2821266.3333,466754.0,0.2242
2023,3,Colorado,All,All,All,All,All,All,304421.0,417114.33333,35781.0,0.1175
2023,3,Connecticut,All,All,All,All,All,All,211846.0,263538.33333,29096.0,0.1373
2023,3,Delaware,All,All,All,All,All,All,121997.0,149304.66667,16758.0,0.1374
2023,3,District Of Columbia,All,All,All,All,All,All,36809.0,50469.666667,7073.0,0.1922
