Year,Quarter,Geography,Total Telehealth Eligible Users,Total Medicare Part B Enrollment,Total Telehealth Users,Pct_Telehealth,Real_GDP,Total_Population,Total_Male_Population%,Total_Female_Population%,Population_Under5%,Population5_17%,Population18_24%,Population25_34%,Population35_44%,Population45_54%,Population55_64%,Population65_74%,Population_Over75%,Less_Than_High_School_Diploma%,High_School_Graduate%,Some_College_or_Associate Degree%,Bachelor_Degree%,Graduate_Or_Professional_Degree%,UnemploymentRate%,Private_Health_Insurance%,Public_Health_Insurance_Coverage%,No_Health_Insurance_Coverage%,Povery_Rate%,White,Black,Hispanic,Asian,American Indian or Alaska Native,Multiple Races
2023,1,Ohio,743306.0,968006.66667,80481.0,0.1083,709816.6,11785935,49.3,50.7,5.6,16.3,8.8,13.2,12.6,11.9,12.9,11.2,7.6,8.1,31.8,28.1,19.3,12.7,4.0,67.3,39.2,6.1,13.3,0.758,0.117,0.048,0.025,0.001,0.05
2023,1,Oklahoma,329314.0,422440.66667,33052.0,0.1004,207923.3,4053824,49.7,50.3,5.9,17.9,10.0,13.3,13.3,11.4,11.5,9.9,6.8,10.3,30.6,30.4,18.6,10.1,4.6,61.5,40.3,11.4,15.9,0.619,0.064,0.129,0.023,0.067,0.098
2023,1,Oregon,249665.0,363828.66667,39339.0,0.1576,261951.5,4233358,49.7,50.3,4.7,14.9,8.3,14.0,14.2,12.4,12.0,11.6,7.9,8.0,22.1,32.3,23.5,14.2,4.1,66.9,41.4,5.5,12.2,0.71,0.019,0.149,0.045,0.006,0.068
2023,1,Pennsylvania,933075.0,1188175.6667,119839.0,0.1284,799228.8,12961683,49.3,50.7,5.1,15.1,9.0,12.7,12.8,11.8,13.4,11.7,8.4,7.8,33.1,23.8,21.0,14.4,4.2,70.1,39.5,5.4,12.0,0.73,0.099,0.089,0.039,0.001,0.043
2023,1,Rhode Island,61849.0,78777.666667,11330.0,0.1832,63277.0,1095962,48.9,51.1,4.8,13.7,9.7,14.0,13.0,11.5,13.8,11.3,8.1,10.4,26.4,24.1,23.1,15.9,4.8,70.5,38.8,4.5,10.8,0.676,0.046,0.182,0.032,0.004,0.062
2023,1,South Carolina,496269.0,605936.0,41903.0,0.0844,262298.5,5373555,48.5,51.5,5.3,15.9,9.0,12.6,12.8,11.9,13.1,11.6,7.8,9.8,28.2,29.1,20.4,12.5,4.3,66.8,39.1,9.1,13.9,0.62,0.24,0.074,0.017,0.002,0.046
2023,1,South Dakota,78664.0,113705.0,5772.0,0.0734,57275.1,919318,50.9,49.1,6.0,17.8,9.2,12.5,12.9,10.7,12.4,11.3,7.2,6.5,27.7,32.5,22.9,10.4,2.6,73.3,32.3,8.3,11.8,0.796,0.024,0.05,0.017,0.069,0.043
2023,1,Tennessee,486298.0,615971.66667,36710.0,0.0755,422087.7,7126489,49.1,50.9,5.8,16.2,8.9,13.7,13.1,12.2,12.7,10.5,7.0,9.9,31.0,27.4,19.3,12.4,4.0,66.3,36.9,9.3,14.0,0.713,0.15,0.075,0.018,0.001,0.043
2023,1,Texas,1394999.0,1828502.3333,206530.0,0.1481,2097090.4,30503301,49.9,50.1,6.3,18.4,9.6,14.4,14.3,12.3,11.0,8.4,5.4,13.7,24.2,27.9,21.6,12.6,4.4,63.3,29.3,16.4,13.7,0.388,0.118,0.4,0.056,0.001,0.036
2023,1,Utah,139941.0,189088.66667,14290.0,0.1021,225459.4,3417734,50.7,49.3,6.7,20.6,11.7,14.8,13.7,11.2,9.1,7.4,4.7,6.9,22.2,32.5,24.6,13.8,3.3,78.1,22.6,8.0,9.0,0.745,0.01,0.16,0.025,0.007,0.044
2023,1,Vermont,71290.0,99178.333333,10994.0,0.1542,35236.6,647464,49.9,50.1,4.2,13.5,9.5,11.8,12.6,11.9,14.4,13.3,8.9,4.5,27.1,24.7,25.2,18.5,2.6,69.9,42.2,3.4,9.7,0.892,0.013,0.024,0.016,0.004,0.053
2023,1,Virginia,705804.0,891196.66667,80212.0,0.1136,597597.1,8715698,49.4,50.6,5.5,16.0,9.2,13.3,13.9,12.2,12.6,10.1,7.1,8.6,24.1,25.0,24.0,18.5,3.7,72.8,34.9,6.4,10.2,0.583,0.179,0.111,0.07,0.001,0.056
2023,1,Washington,480074.0,685196.0,66269.0,0.138,677238.0,7812880,50.4,49.6,5.3,15.7,8.4,15.1,14.6,11.9,11.8,10.3,6.9,7.6,21.6,30.3,24.3,16.1,4.5,70.2,36.5,6.3,10.3,0.625,0.038,0.145,0.099,0.008,0.078
2023,1,West Virginia,146165.0,192640.0,15419.0,0.1055,80798.2,1770071,49.9,50.1,4.9,14.9,9.0,11.7,12.1,12.6,13.4,12.7,8.7,11.0,39.7,25.3,14.5,9.5,4.5,63.3,47.3,5.9,16.7,0.902,0.026,0.02,0.007,0.004,0.044
2023,1,Wisconsin,349798.0,502239.66667,39178.0,0.112,344570.8,5910955,50.1,49.9,5.2,15.8,9.3,12.5,12.7,11.6,13.6,11.6,7.6,6.3,29.5,30.4,22.2,11.5,2.8,72.8,36.0,4.9,10.7,0.787,0.057,0.081,0.029,0.005,0.04
2023,1,Wyoming,65527.0,97465.0,5170.0,0.0789,40210.8,584057,50.6,49.4,5.2,17.0,8.6,13.1,14.1,10.5,12.4,12.0,7.2,6.1,27.5,36.0,19.3,11.2,3.2,71.0,33.2,10.7,11.3,0.815,0.006,0.107,0.006,0.016,0.05
2023,2,Alabama,314815.0,396284.33333,18643.0,0.0592,245354.7,5108468,48.4,51.6,5.6,16.5,9.4,12.6,12.7,12.1,12.8,10.8,7.4,10.9,30.1,30.2,17.6,11.3,4.0,67.1,38.6,8.5,15.6,0.636,0.25,0.058,0.016,0.003,0.038
2023,2,Alaska,65741.0,98164.333333,8990.0,0.1367,54059.7,733406,52.6,47.4,6.2,17.6,8.9,15.3,15.0,11.2,11.8,9.1,5.0,6.8,29.1,31.9,20.1,12.2,4.8,66.0,37.8,10.4,10.4,0.574,0.023,0.074,0.061,0.141,0.112
2023,2,Arizona,491203.0,634660.33333,66954.0,0.1363,422399.6,7431344,49.9,50.1,5.3,16.0,9.4,13.8,12.7,11.6,11.8,10.9,8.5,10.6,23.4,32.5,20.4,13.1,4.3,64.0,38.4,9.9,12.4,0.523,0.044,0.317,0.035,0.031,0.048
2023,2,Arkansas,262882.0,335594.33333,20129.0,0.0766,142860.6,3067732,49.3,50.7,5.8,17.1,9.4,12.8,13.0,11.7,12.2,10.5,7.5,10.7,34.2,28.9,16.6,9.5,4.2,60.2,43.0,8.9,15.7,0.673,0.141,0.092,0.017,0.004,0.07
2023,2,California,2093572.0,2821965.0,476839.0,0.2278,3248656.6,38965193,49.9,50.1,5.4,16.3,9.1,14.6,14.0,12.4,12.0,9.4,6.8,15.2,20.4,26.9,22.8,14.7,5.5,63.4,40.3,6.4,12.0,0.333,0.05,0.406,0.156,0.003,0.05
2023,2,Colorado,306709.0,415904.66667,37488.0,0.1222,437056.0,5877610,50.7,49.3,5.2,15.4,9.0,15.8,14.9,12.1,11.5,9.9,6.2,6.7,19.3,27.5,28.3,18.1,3.8,70.3,33.9,6.7,9.3,0.647,0.036,0.227,0.032,0.003,0.053
2023,2,Connecticut,214998.0,264411.66667,29839.0,0.1388,286628.4,3617176,49.1,50.9,5.0,15.0,9.3,12.5,13.0,12.2,14.1,10.9,8.2,8.2,25.5,23.3,23.1,19.8,4.6,67.8,38.3,5.7,10.3,0.614,0.098,0.187,0.047,0.001,0.052
2023,2,Delaware,122825.0,148801.0,17420.0,0.1418,78014.4,1031890,48.4,51.6,5.3,15.3,8.6,12.1,12.5,11.2,13.8,12.9,8.4,8.6,28.5,26.5,21.0,15.5,3.5,69.1,41.3,6.5,10.5,0.582,0.213,0.111,0.043,0.001,0.051
2023,2,District of Columbia,37608.0,50760.0,6964.0,0.1852,146024.3,678972,47.4,52.6,5.7,13.0,10.2,21.3,16.8,10.6,9.3,7.5,5.6,7.3,13.1,13.7,26.9,39.0,5.3,73.7,33.6,2.7,14.0,0.367,0.409,0.123,0.038,0.004,0.063
2023,2,Florida,1617507.0,1964105.3333,189077.0,0.1169,1292787.6,22610726,49.2,50.8,5.0,14.4,8.0,12.4,12.8,12.2,13.4,11.9,9.9,9.8,26.8,28.5,21.6,13.3,4.1,64.2,37.5,10.7,12.3,0.503,0.142,0.276,0.029,0.001,0.049
2023,2,Georgia,593698.0,754776.66667,55376.0,0.0933,678201.2,11029227,48.8,51.2,5.6,17.3,9.5,13.8,13.5,12.8,12.1,9.3,6.1,10.7,26.3,27.7,21.3,14.1,4.4,66.3,33.5,11.4,13.6,0.488,0.304,0.111,0.045,0.001,0.05
2023,2,Hawaii,75867.0,102738.33333,14847.0,0.1957,88614.3,1435138,50.1,49.9,5.4,15.1,8.1,12.9,13.4,11.7,12.2,11.6,9.6,7.0,26.3,29.7,23.1,13.9,3.5,75.2,40.3,3.2,10.1,0.198,0.014,0.098,0.366,0.004,0.235
2023,2,Idaho,129189.0,178534.33333,8201.0,0.0635,95897.9,1964726,50.3,49.7,5.6,18.1,9.8,12.9,13.2,11.4,11.5,10.6,6.8,7.8,25.9,34.1,21.6,10.6,3.6,68.8,35.7,8.9,10.1,0.784,0.008,0.138,0.014,0.007,0.049
2023,2,Illinois,930191.0,1199587.3333,96835.0,0.1041,885651.3,12549689,49.4,50.6,5.3,16.3,9.1,13.4,13.4,12.4,12.7,10.3,7.3,9.4,25.3,27.0,22.8,15.5,4.7,69.7,35.6,6.2,11.6,0.58,0.128,0.191,0.06,0.001,0.04
2023,2,Indiana,487761.0,622503.66667,34131.0,0.07,404290.3,6862199,49.7,50.3,5.9,17.2,9.7,13.0,12.8,11.9,12.3,10.3,7.0,9.6,32.2,28.1,19.1,11.1,3.6,67.8,37.4,6.9,12.3,0.752,0.087,0.088,0.026,0.001,0.045
2023,2,Iowa,304476.0,392042.0,16108.0,0.0529,202051.4,3207004,50.0,50.0,5.7,16.9,9.8,12.4,12.8,11.4,12.4,10.8,7.8,6.7,29.9,31.8,20.9,10.7,2.8,71.8,37.8,5.0,11.3,0.826,0.036,0.074,0.023,0.002,0.037
